"ISO.3.Country.Code"	"LOCODE.Code"	"Description"	"Coordinates"	"lat"	"lon"	"range"
"218"	"FRA"	"FRLZF"	"La Foret-Fouesnant"	"4792N 00398W"	47.916667	-3.983333	3
"219"	"FRA"	"FRMCI"	"Macinaggio"	"4290N 00935E"	42.9	9.35	3
"220"	"FRA"	"FRMCQ"	"Macau"	"4502N 00062W"	45.016667	-0.616667	3
"221"	"FRA"	"FRMGN"	"Marignane"	"4342N 00522E"	43.416667	5.216667	3
"222"	"FRA"	"FRMGU"	"Mauguio"	"4362N 00402E"	43.616667	4.016667	3
"223"	"FRA"	"FRMMZ"	"Mimizan"	"4420N 00123W"	44.2	-1.233333	3
"224"	"FRA"	"FRMNA"	"Marennes"	"4582N 00112W"	45.816667	-1.116667	3
"225"	"FRA"	"FRMTU"	"Martigues"	"4340N 00505E"	43.4	5.05	3
"226"	"FRA"	"FRMWR"	"Marseillan"	"4348N 00032E"	43.483333	0.316667	3
"227"	"FRA"	"FRNTE"	"Nantes"	"4722N 00155W"	47.216667	-1.55	3
"228"	"FRA"	"FROTY"	"Le Crotoy"	"5022N 00162E"	50.216667	1.616667	3
"229"	"FRA"	"FROUB"	"Soubise"	"4593N 00100W"	45.933333	-1	3
"230"	"FRA"	"FRPBA"	"Portbail"	"4933N 00170W"	49.333333	-1.7	3
"231"	"FRA"	"FRPGR"	"Perros-Guirec"	"4882N 00345W"	48.816667	-3.45	3
"232"	"FRA"	"FRPIR"	"Piriac-sur-Mer"	"4738N 00255W"	47.383333	-2.55	3
"233"	"FRA"	"FRPLO"	"Plougasnou"	"4870N 00380W"	48.7	-3.8	3
"234"	"FRA"	"FRPMH"	"Ploumanac h"	"4882N 00345W"	48.816667	-3.45	3
"235"	"FRA"	"FRPTQ"	"Le Petit-Quevilly"	"4595N 00107W"	45.95	-1.066666667	3
"236"	"FRA"	"FRPXN"	"Le Pellerin"	"4720N 00175W"	47.2	-1.75	3
"237"	"FRA"	"FRRCM"	"St-Briac-sur-Mer"	"4863N 00213W"	48.633333	-2.133333	3
"238"	"FRA"	"FRRYR"	"Carry-le-Rouet"	"4333N 00515E"	43.333333	5.15	3
"239"	"FRA"	"FRRZN"	"Arzon"	"4755N 00290W"	47.55	-2.9	3
"240"	"FRA"	"FRSBI"	"Saint-Aubin-sur-Mer"	"4988N 00088E"	49.883333	0.883333	3
"241"	"FRA"	"FRSET"	"Sète"	"4340N 00368E"	43.4	3.683333	3
"242"	"FRA"	"FRSFL"	"St Floret"	"4268N 00930E"	42.683333	9.3	3
"243"	"FRA"	"FRSHE"	"Saint-Estèphe"	"4558N 00002E"	45.583333	0.016667	3
"244"	"FRA"	"FRSRL"	"Saint-Raphaël"	"4342N 00677E"	43.416667	6.766667	3
"245"	"FRA"	"FRTDB"	"La Teste-de-Buch"	"4463N 00114W"	44.6343	-1.13704	3
"246"	"FRA"	"FRTGT"	"Tregastel"	"4880N 00350W"	48.8	-3.5	3
"247"	"FRA"	"FRTJE"	"Trouville-sur-Mer"	"4937N 00008E"	49.366667	0.083333	3
"248"	"FRA"	"FRTRB"	"La Tremblade"	"4577N 00113W"	45.766667	-1.133333	3
